tray;pot;weight only;weight;position
1;1;WEIGHT;0.136;1_1
1;2;;0.146;1_2
1;3;;0.169;1_3
1;4;;0.196;1_4
1;5;;0.188;1_5
1;6;;0.206;1_6
1;7;;0.276;1_7
1;8;;0.103;1_8
1;9;;0.142;1_9
1;10;WEIGHT;0.228;1_10
1;11;WEIGHT;0.104;1_11
1;12;;0.152;1_12
1;13;;0.075;1_13
1;14;;0.144;1_14
1;15;;0.328;1_15
1;16;;0.067;1_16
1;17;;0.039;1_17
1;18;;0.233;1_18
1;19;WEIGHT;0.205;1_19
1;21;;0.145;1_21
1;22;;0.031;1_22
1;23;;0.164;1_23
1;24;;0.085;1_24
1;25;;0.28;1_25
1;26;WEIGHT;0.035;1_26
1;27;;0.211;1_27
1;28;;0.116;1_28
1;29;WEIGHT;0.128;1_29
1;30;WEIGHT;0.159;1_30
1;31;;0.212;1_31
1;32;WEIGHT;0.203;1_32
1;33;;0.072;1_33
1;34;;0.174;1_34
1;35;;0.167;1_35
1;36;;0.082;1_36
1;37;;0.084;1_37
1;38;;0.16;1_38
1;39;WEIGHT;0.116;1_39
1;40;;0.1;1_40
1;41;;0.144;1_41
1;42;;0.09;1_42
1;43;;0.122;1_43
1;44;;0.053;1_44
1;45;;0.181;1_45
1;46;;0.313;1_46
1;47;;0.122;1_47
1;48;;0.209;1_48
2;1;WEIGHT;0.068;2_1
2;2;;0.305;2_2
2;3;;0.18;2_3
2;4;WEIGHT;0.251;2_4
2;5;;0.125;2_5
2;6;;0.027;2_6
2;7;;0.131;2_7
2;8;;0.095;2_8
2;9;;0.17;2_9
2;10;WEIGHT;0.113;2_10
2;11;WEIGHT;0.21;2_11
2;12;WEIGHT;0.156;2_12
2;13;WEIGHT;0.276;2_13
2;14;;0.088;2_14
2;15;;0.1;2_15
2;16;;0.091;2_16
2;17;;0.159;2_17
2;18;;0.183;2_18
2;19;;0.113;2_19
2;20;WEIGHT;0.02;2_20
2;21;;0.223;2_21
2;22;;0.141;2_22
2;23;;0.056;2_23
2;24;;0.257;2_24
2;26;;0.207;2_26
2;27;;0.233;2_27
2;28;;0.109;2_28
2;29;;0.134;2_29
2;30;;0.25;2_30
2;31;;0.081;2_31
2;32;;0.154;2_32
2;33;;0.035;2_33
2;34;;0.16;2_34
2;35;;0.235;2_35
2;36;WEIGHT;0.194;2_36
2;37;;0.139;2_37
2;38;;0.227;2_38
2;39;;0.144;2_39
2;40;;0.172;2_40
2;41;;0.121;2_41
2;42;;0.333;2_42
2;43;;0.11;2_43
2;44;WEIGHT;0.19;2_44
2;45;;0.165;2_45
2;46;;0.293;2_46
2;47;;0.15;2_47
2;48;;0.187;2_48
3;1;WEIGHT;0.167;3_1
3;2;;0.207;3_2
3;3;;0.174;3_3
3;4;;0.179;3_4
3;5;;0.133;3_5
3;6;;0.195;3_6
3;7;WEIGHT;0.199;3_7
3;8;;0.095;3_8
3;9;;0.163;3_9
3;10;;0.081;3_10
3;11;;0.134;3_11
3;12;;0.099;3_12
3;13;WEIGHT;0.309;3_13
3;14;;0.209;3_14
3;15;;0.202;3_15
3;16;WEIGHT;0.136;3_16
3;17;;0.052;3_17
3;18;WEIGHT;0.219;3_18
3;19;;0.34;3_19
3;20;;0.146;3_20
3;21;WEIGHT;0.318;3_21
3;22;;0.305;3_22
3;23;;0.202;3_23
3;24;;0.179;3_24
3;25;;0.026;3_25
3;26;;0.14;3_26
3;27;WEIGHT;0.297;3_27
3;28;;0.123;3_28
3;29;;0.183;3_29
3;30;;0.321;3_30
3;31;;0.164;3_31
3;32;WEIGHT;0.028;3_32
3;33;;0.05;3_33
3;34;;0.11;3_34
3;35;WEIGHT;0.17;3_35
3;36;;0.321;3_36
3;37;;0.119;3_37
3;38;;0.25;3_38
3;39;;0.285;3_39
3;40;;0.125;3_40
3;41;;0.192;3_41
3;42;;0.259;3_42
3;43;;0.271;3_43
3;44;WEIGHT;0.179;3_44
3;45;;0.131;3_45
3;46;;0.137;3_46
3;47;;0.155;3_47
3;48;;0.247;3_48
4;1;;0.25;4_1
4;2;;0.193;4_2
4;3;WEIGHT;0.107;4_3
4;4;;0.151;4_4
4;5;;0.12;4_5
4;6;;0.197;4_6
4;7;WEIGHT;0.23;4_7
4;8;;0.138;4_8
4;9;WEIGHT;0.093;4_9
4;10;;0.095;4_10
4;11;;0.152;4_11
4;12;WEIGHT;0.412;4_12
4;13;WEIGHT;0.112;4_13
4;14;;0.179;4_14
4;15;;0.026;4_15
4;16;;0.276;4_16
4;17;;0.043;4_17
4;18;WEIGHT;0.159;4_18
4;19;;0.089;4_19
4;20;;0.121;4_20
4;21;;0.155;4_21
4;22;;0.274;4_22
4;23;;0.22;4_23
4;24;;0.092;4_24
4;25;;0.23;4_25
4;26;;0.096;4_26
4;27;;0.244;4_27
4;28;WEIGHT;0.208;4_28
4;29;;0.145;4_29
4;30;;0.123;4_30
4;31;;0.201;4_31
4;32;;0.13;4_32
4;33;;0.221;4_33
4;34;;0.263;4_34
4;35;;0.177;4_35
4;36;;0.059;4_36
4;37;;0.285;4_37
4;38;;0.193;4_38
4;39;WEIGHT;0.098;4_39
4;40;;0.142;4_40
4;41;;0.162;4_41
4;42;WEIGHT;0.229;4_42
4;43;;0.173;4_43
4;44;WEIGHT;0.043;4_44
4;45;;0.097;4_45
4;46;;0.218;4_46
4;47;;0.305;4_47
4;48;;0.178;4_48
5;1;;0.155;5_1
5;2;;0.142;5_2
5;3;WEIGHT;0.261;5_3
5;4;;0.057;5_4
5;5;;0.1;5_5
5;6;;0.08;5_6
5;7;;0.104;5_7
5;8;;0.131;5_8
5;9;;0.077;5_9
5;10;;0.157;5_10
5;11;;0.124;5_11
5;12;;0.263;5_12
5;13;;0.096;5_13
5;14;;0.101;5_14
5;15;;0.159;5_15
5;16;;0.077;5_16
5;17;;0.13;5_17
5;18;;0.032;5_18
5;19;;0.156;5_19
5;20;WEIGHT;0.179;5_20
5;21;;0.248;5_21
5;22;;0.133;5_22
5;23;;0.033;5_23
5;24;;0.221;5_24
5;25;WEIGHT;0.187;5_25
5;26;WEIGHT;0.067;5_26
5;27;WEIGHT;0.124;5_27
5;28;WEIGHT;0.108;5_28
5;29;WEIGHT;0.15;5_29
5;30;;0.03;5_30
5;31;;0.209;5_31
5;32;;0.107;5_32
5;33;;0.125;5_33
5;34;WEIGHT;0.126;5_34
5;35;;0.166;5_35
5;36;;0.144;5_36
5;37;WEIGHT;0.185;5_37
5;38;;0.202;5_38
5;39;;0.114;5_39
5;40;;0.15;5_40
5;41;;0.152;5_41
5;42;;0.205;5_42
5;43;;0.302;5_43
5;44;;0.189;5_44
5;45;;0.251;5_45
5;46;;0.125;5_46
5;47;;0.275;5_47
5;48;WEIGHT;0.148;5_48
6;1;;0.218;6_1
6;2;;0.149;6_2
6;3;;0.275;6_3
6;4;WEIGHT;0.165;6_4
6;5;WEIGHT;0.061;6_5
6;6;WEIGHT;0.078;6_6
6;7;;0.043;6_7
6;8;;0.227;6_8
6;9;;0.126;6_9
6;10;;0.212;6_10
6;11;;0.06;6_11
6;12;WEIGHT;0.101;6_12
6;13;WEIGHT;0.164;6_13
6;14;;0.253;6_14
6;15;WEIGHT;0.211;6_15
6;16;;0.132;6_16
6;17;;0.086;6_17
6;18;;0.111;6_18
6;19;;0.121;6_19
6;20;;0.259;6_20
6;21;;0.043;6_21
6;22;;0.159;6_22
6;23;;0.177;6_23
6;24;;0.19;6_24
6;25;;0.239;6_25
6;26;;0.276;6_26
6;27;WEIGHT;0.15;6_27
6;28;;0.246;6_28
6;29;;0.246;6_29
6;30;;0.185;6_30
6;31;;0.116;6_31
6;32;;0.149;6_32
6;33;;0.148;6_33
6;34;;0.257;6_34
6;35;WEIGHT;0.252;6_35
6;36;;0.03;6_36
6;37;;0.136;6_37
6;38;WEIGHT;0.15;6_38
6;39;;0.121;6_39
6;40;WEIGHT;0.028;6_40
6;41;;0.114;6_41
6;42;;0.088;6_42
6;43;;0.154;6_43
6;44;;0.2;6_44
6;45;;0.119;6_45
6;46;;0.314;6_46
6;47;;0.16;6_47
6;48;;0.231;6_48
7;1;;0.151;7_1
7;2;;0.192;7_2
7;3;;0.114;7_3
7;4;;0.227;7_4
7;5;;0.033;7_5
7;6;;0.161;7_6
7;7;;0.224;7_7
7;8;;0.118;7_8
7;9;;0.105;7_9
7;10;;0.112;7_10
7;11;WEIGHT;0.135;7_11
7;12;WEIGHT;0.234;7_12
7;13;;0.156;7_13
7;14;;0.147;7_14
7;15;;0.157;7_15
7;16;;0.212;7_16
7;17;;0.139;7_17
7;18;WEIGHT;0.135;7_18
7;19;;0.073;7_19
7;20;;0.151;7_20
7;21;;0.099;7_21
7;22;;0.148;7_22
7;23;;0.087;7_23
7;24;WEIGHT;0.122;7_24
7;25;WEIGHT;0.136;7_25
7;26;WEIGHT;0.139;7_26
7;27;;0.21;7_27
7;28;WEIGHT;0.109;7_28
7;29;;0.202;7_29
7;30;;0.182;7_30
7;31;WEIGHT;0.377;7_31
7;32;;0.128;7_32
7;33;;0.096;7_33
7;34;;0.089;7_34
7;35;;0.097;7_35
7;36;;0.098;7_36
7;37;;0.149;7_37
7;38;;0.174;7_38
7;39;;0.13;7_39
7;40;;0.225;7_40
7;41;;0.181;7_41
7;42;;0.039;7_42
7;43;;0.06;7_43
7;44;;0.299;7_44
7;45;WEIGHT;0.028;7_45
7;46;;0.176;7_46
7;47;WEIGHT;0.173;7_47
7;48;;0.179;7_48
8;1;WEIGHT;0.17511;8_1
8;2;;0.18501;8_2
8;3;;0.2435;8_3
8;4;;0.24967;8_4
8;5;;0.04112;8_5
8;6;;0.17147;8_6
8;7;;0.20461;8_7
8;8;WEIGHT;0.15849;8_8
8;9;;0.09885;8_9
8;10;WEIGHT;0.04345;8_10
8;11;;0.12635;8_11
8;12;;0.1324;8_12
8;13;;0.17203;8_13
8;14;;0.18673;8_14
8;15;;0.12856;8_15
8;16;WEIGHT;0.1945;8_16
